question_no	pdf_page	source_label	preview
337	340	i.iii.ii.i.ii.ii.ii.ii.ii2003 数一	(a.c.b.a.c.b.c) 切线 i.iii.ii.i.ii.ii.ii.ii.ii2003 数一 过坐标原点作曲线 y = lnx 的切线, 该切线与曲线 y = lnx 及 x 轴围成平面图形 D. (I) 求 D 的面积 A; (II) 求 D 绕直线 x = e 旋转一周所得旋转体的体积 V. 大观严选题 —— 澄潇宇 第 337 页，共 767 页
338	341	i.iii. ii. i. ii. ii. ii. iv. i)1994 数二;880 第三章综合解答 51;30 习题 10.9	(a.c.b.a.c.b.d) 复杂区域 i.iii. ii. i. ii. ii. ii. iv. i)1994 数二;880 第三章综合解答 51;30 习题 10.9 求曲线 y = 3 - x 2-1 与 x 轴围成的封闭图形绕直线 y = 3 旋转所得的旋转体体积. 大观严选题 —— 澄潇宇 第 338 页，共 767 页
339	342	i.iii.ii.i.ii.ii.iv. ii)2014 数二	i.iii.ii.i.ii.ii.iv. ii)2014 数二 已知函数 f x,y 满足 ∂f ∂y = 2 y+1 , 且 f  y,y =  y+1 2- 2-y lny, 求曲线 f x,y = 0 所围图形绕 直线 y =-1 旋转所成旋转体的体积. 大观严选题 —— 澄潇宇 第 339 页，共 767 页
340	343	i.iii.ii.i.iv.i)∞ ∘ 1000;880 第三章基础解答 22	(1.3.2.1.4) 平行截面面积已知的立体体积 i.iii.ii.i.iv.i)∞ ∘ 1000;880 第三章基础解答 22 2.如图所示, 设立体的底是 xOy 平面上介于 y = x 2- 1 和 y = 0 之间的平面区域, 该立体垂直于 x 轴的 任一截面是一个等边三角形, 则此立体的体积为 ( ). A. 3 15 B. 2 3
341	344	i.iii.ii.i.v.i.i.i.i)2023 数二	(1.3.2.1.5) 弧长 (数一二) i.iii. ii. i.v.i) 直角坐标 (a.c.b.a.e.a.a) 隐含范围 i.iii.ii.i.v.i.i.i.i)2023 数二 曲线 y = x- 3 3-t2  dt 的弧长 s = _____. 大观严选题 —— 澄潇宇
342	345	i.iii.ii.i.v.i.ii.i)1992 数二;30 例 10.	(a.c.b.a.e.a.b) 已知范围 i.iii.ii.i.v.i.ii.i)1992 数二;30 例 10. 10 计算曲线 y = ln 1-x 2  上相应于 0 ≤ x ≤ 1
343	346	i.iii.ii.i.v.i.ii.ii)2011 数一二	i.iii.ii.i.v.i.ii.ii)2011 数一二 曲线 y = x0 tan  tdt 0≤x≤ π
344	347	i.iii.ii.i.v.i.ii.iii)2019 数二	i.iii.ii.i.v.i.ii.iii)2019 数二 12.曲线 y = lncosx 0≤x≤ π 6  的弧长为 _____ 大观严选题 —— 澄潇宇 第 344 页，共 767 页
345	348	i.iii.ii.i.v.i.ii.iv)2022 数二	i.iii.ii.i.v.i.ii.iv)2022 数二 设函数 yx 是微分方程 2xy - 4y = 2lnx - 1 的满足条件 y1 = 1 4 的解, 求曲线 y = yx 1≤x≤e  的弧长. 大观严选题 —— 澄潇宇 第 345 页，共 767 页
346	349	i.iii.ii.i.v.i.ii.v)2003 数二	i.iii.ii.i.v.i.ii.v)2003 数二 设位于第一象限的曲线 y = f x 过点 2 2 , 1  2  , 其上任一点 Px,y 处的法线与 y 轴的交点为 Q, 且
347	350	(a.c.b.a.e.b.a)1996 数一	i.iii.ii.i.v.ii) 极坐标 (a.c.b.a.e.b.a)1996 数一 心形线 r = a1+cosθ a>0 的弧长为 _____. 大观严选题 —— 澄潇宇 第 347 页，共 767 页
348	351	(a.c.b.a.e.b.b)2010 数二	(a.c.b.a.e.b.b)2010 数二 当 0 ≤ θ ≤ π 时，对数螺线 r = e θ的弧长为 _____ 大观严选题 —— 澄潇宇 第 348 页，共 767 页
349	352	(a.c.b.a.e.c.a)1995 数二	i.iii.ii.i.v.iii) 参数方程 (a.c.b.a.e.c.a)1995 数二 求摆线 x=1-cost, y=t-sint   一拱 0≤t≤2π 的弧长 s. 大观严选题 —— 澄潇宇
350	353	(a.c.b.a.f .a.a)1998 数二;660 数二 129;30 例 10.12	(1.3.2.1.6) 表 (侧) 面积 (数一二) i.iii. ii. i. i. vi. i) 直角坐标 (a.c.b.a.f .a.a)1998 数二;660 数二 129;30 例 10.12 设有曲线 y = x-1 , 过原点作其切线, 求由此曲线、切线及 x 轴围成的平面图形绕 x 轴旋转一周所 得到的旋转体的表面积. 大观严选题 —— 澄潇宇 第 350 页，共 767 页
351	354	(a.c.b.a.f .a.b)2004 数二	(a.c.b.a.f .a.b)2004 数二 曲线 y = e x+e-x 2 与直线 x = 0,x = tt>0 及 y = 0 围成一曲边梯形.该曲边梯形绕 x 轴旋转一周得一 旋转体, 其体积为 V t , 侧面积为 St , 在 x = t 处的底面积为 Ft . (1) 求 St 
352	355	(a.c.b.a.f .a.c)2021 数二	(a.c.b.a.f .a.c)2021 数二 设函数 f x 满足  f x  x dx = 1
353	356	(a.c.b.a.f .b.a)2016 数二	i.iii.ii.i.i.vi.ii) 参数方程 (a.c.b.a.f .b.a)2016 数二 设 D 是由曲线 y = 1-x 2 0≤x≤1 与 x=cos3
354	357	i.iii.ii.ii.i.i.i)2017 数二	a.c.b.b) 物理应用 (数一二) (1.3.2.2.1) 路程 i.iii.ii.ii.i.i.i)2017 数二 (6) 甲、乙两人赛跑，计时开始时，甲在乙前方 10(单位:m) 处.图中，实线表示甲的速度曲线 v = v1 t (单位:m/s), 虚线表示乙的速度曲线 v = v2
355	358	i.iii.ii.ii.ii.ii2024 数二	i.iii.ii.ii.ii.ii2024 数二 某物体以速度 vt = t + ksinπt 做直线运动, 若它从 t = 0 到 t = 3 的时间段内平均速度是 5 2 , 则 k = _ ____. 大观严选题 —— 澄潇宇 第 355 页，共 767 页
356	359	i.iii.ii.ii.ii.i)2010 数二	(1.3.2.2.2) 质量 i.iii.ii.ii.ii.i)2010 数二 一个高为 l 的柱体形贮油罐, 底面是长轴为 2a, 短轴为 2b 的椭圆.现将贮油罐平放, 当油罐中油面高 度为 3 2 b 时 (如图), 计算油的质量.(长度单位为 m, 质量单位为 kg, 油的密度为常量 ρ, 单位为 kg/m3
357	360	(a.c.b.b.c.a.a)1991 数二; 基础严选第六章选择 5	(1.3.2.2.3) 受力 i.iii.ii.ii.iii.ii.i) 万有引力 (a.c.b.b.c.a.a)1991 数二; 基础严选第六章选择 5 (5) 如图， x 轴上的一线密度为常数 μ，长度为 l 的细杆，若质量为 m 的质点到杆右端的距离为 a, 已 知引力系数为 k, 则质点和细杆之间引力的大小为 ( ) A.
358	361	(a.c.b.b.c.a.b)2025 数二	(a.c.b.b.c.a.b)2025 数二 6.设单位质点 P,Q 分别位于点 0,0 和 0,1 处, P 从点 0,0 出发沿 x 轴正向移动, 记 G 为引力常量, 则当质点 P 移动到点 l,0 时, 克服质点 Q 的引力所做的功为 A. l0 G x 2+1
359	362	(a.c.b.b.c.a.c)2026 数二	(a.c.b.b.c.a.c)2026 数二 设线密度为 1 的均匀细棒的两个端点分别在 -1,0 ,1,0 , 在 0,1 处有一个质量为 m 的质点, G 为 引力常数，则细棒对质点的万有引力为 ( ) A. 2 1 0 Gmx
360	363	(a.c.b.b.c.b.a)2020 数二;	i.iii.ii.ii.iii.ii) 液体压力 (a.c.b.b.c.b.a)2020 数二; 12 斜边长为 2a 的等腰直角三角形平板铅直地沉没在水中, 且斜边与水面相齐.记重力加速度为 g， 水的密度为 ρ，则该平板一侧所受的水压力为 _____. 大观严选题 —— 澄潇宇 第 360 页，共 767 页
361	364	i.iii.ii.ii.iv.i.i.i)2011 数二	(1.3.2.2.4) 做功 i.iii. ii. ii. iv. i) 克服重力做功 (a.c.b.b.d.a.a) 抽水做工 i.iii.ii.ii.iv.i.i.i)2011 数二 一容器的内侧是由右图中曲线绕 y 轴旋转一周而成的曲面, 该曲线由 x 2+ y 2 = 2y y≥
362	365	i.iii.ii.ii.iv.i.ii.i)1999 数一二	(a.c.b.b.d.a.b) 提拉物体 i.iii.ii.ii.iv.i.ii.i)1999 数一二 为清除井底的污泥，用缆绳将抓斗放入井底，抓起污泥后提出井口 (如图).已知井深 30m，抓斗自 重 400N，缆绳每米重 50N，抓斗抓起的污泥重 2000N，提升速度为 3m/s.在提升过程中，污泥以 20N/s 的速率从抓斗缝隙中漏掉. 现将抓起污泥的抓斗提升至井口，问克服重力需作多少焦耳的功? (说明: ① 1N × 1m = 
363	366	(a.c.b.b.d.b.a)2003 数一	i.iii.ii.ii.iv. ii) 打桩 (a.c.b.b.d.b.a)2003 数一 某建筑工程打地基时，需用汽锤将桩打进土层. 汽锤每次击打，都将克服土层对桩的阻力而做功.设 土层对桩的阻力的大小与桩被打进地下的深度成正比 (比例系数为 k,k > 0), 汽锤第一次击打将桩打 进地下 am .根据设计方案，要求汽锤每次击打桩时所作的功与前一次击打时所作的功之比为常数 r0<r<1 .问
364	367	(a.c.b.b.e.a.a)2013 数二;30 例 10.9	(1.3.2.2.5) 形心质心 i.iii.ii.ii.v.i) 平面 (a.c.b.b.e.a.a)2013 数二;30 例 10.9 设曲线 L 的方程为 y = 1 4
365	368	(a.c.b.b.e.b.a)2014 数二	i.iii.ii.ii.vi.ii) 线 (a.c.b.b.e.b.a)2014 数二 (13) 一根长度为 1 的细棒位于 x 轴的区间 0,1 上, 若其线密度 ρx =-x 2+ 2x + 1，则该细棒的质 心坐标 x = ______. 大观严选题 —— 澄潇宇
366	369	(1.3.3.1.1)1987 数三	1.3.3.反常积分审敛 a.c.c.a) 审敛 (1.3.3.1.1)1987 数三 (3) 下列广义积分收敛的是 ( ) A. +∞
367	370	(1.3.3.1.2)1995 数三;660 数二 344	(1.3.3.1.2)1995 数三;660 数二 344 (2) 下列广义积分发散的是 ( ) A. 1-1 1 sinx  dx B.
368	371	(1.3.3.1.3)2015 数二	(1.3.3.1.3)2015 数二 (1) 下列反常积分中收敛的是 ( ) A. +∞ 2 1 x
369	372	(1.3.3.1.4)2019 数二	(1.3.3.1.4)2019 数二 3.下列反常积分发散的是 ( ) A. +∞ 0 x  e-xdx. B.
370	373	(1.3.3.1.5)2024 数二	(1.3.3.1.5)2024 数二 设非负函数 f x 在 [0, +∞) 上连续, 给出以下三个命题: ①若 +∞ 0 f 2  x dx 收敛，则
371	374	(1.3.3.1.6)2016 数二	(1.3.3.1.6)2016 数二 (3) 反常积分① 0-∞ 1 x  2 e
372	375	i.iii.iii.ii.i.i.)2016 数一	a.c.c.b) 敛散性和参数的关系 i.iii.iii.ii.i.i.)2016 数一 (1) 若反常积分 +∞ 0 1 x
373	376	i.iii.iii.ii.ii.i)2010 数一数二	(1.3.3.2.2) 与 ln 有关 i.iii.iii.ii.ii.i)2010 数一数二 (3) 设 m,n 均是正整数，则反常积分 1 0 m ln2
374	377	i.iii.iii.ii.ii.ii)2013 数二	i.iii.iii.ii.ii.ii)2013 数二 (4) 设函数 f x = 1 x-1 α-1 , 1<x<e, 1 xlnα+1x
375	378	i.iii.iii.ii.ii.ii.iii)2022 数二;1000 第八章强化 12	i.iii.iii.ii.ii.ii.iii)2022 数二;1000 第八章强化 12 (5) 设 p 为常数，若反常积分 1 0 lnx x
376	379	i.iii.iii. ii.ii.i)2025 数二三	(1.3.3.2.3) 含参有理式 i.iii.iii. ii.ii.i)2025 数二三 设 +∞ 1 a x2x+a 
377	380	i.iii.iii.ii.iv.i)2026 数二三; 基础严选第五章选择 7	(1.3.3.2.4) 其他 i.iii.iii.ii.iv.i)2026 数二三; 基础严选第五章选择 7 13.已知 p 为实数，反常积分 +∞ 0 arctanx x
378	381	(1.3.4.1.1)1997 数一二	1.3.4.其他积分题型 a.c.d.a) 定积分几何意义 (1.3.4.1.1)1997 数一二 (2) 设在区间 a,b 上函数 f x > 0,f  x < 0,f  x > 0.令 S1 = b
379	382	(1.3.4.1.2)2007 数一二三	(1.3.4.1.2)2007 数一二三 (3) 如图连续函数 y = f x 在区间 -3,-2 ,2,3 上的图形分别是直径为 1 的上、下半圆周, 在区间 -2,0 ,0,2 上的图形分别是直径为 2 的下、上半圆周.设 Fx = x0 f  t dt, 则下列结论正确的是 ( ) A. F3 =-
380	383	(1.3.4.1.3)2008 数二三	(1.3.4.1.3)2008 数二三 (2) 如图，曲线段的方程为 y = f x ，函数 f x 在区间 0,a 上有连续的导数，则定积分 a 0 x  f  x dx 等于 ( ). A. 曲边梯形 ABOD 的面积 B. 梯形 ABOD 的面积
381	384	(1.3.4.2.1)2006 数二	a.c.d.b) 积分三大定理 (1.3.4.2.1)2006 数二 (8) 设 f x 是奇函数，除 x = 0 外处处连续， x = 0 是其第一类间断点，则 x0 f  t dt 是 ( ). A. 连续的衙函数 B. 连续的偶函数 C. 在 x = 0 间断的奇函数 D. 在 x = 0 间断的偶函数
382	385	(1.3.4.2.2)2009 数一二三;30 例 8.11	(1.3.4.2.2)2009 数一二三;30 例 8.11 (6) 设函数 y = f x 在区间 -1,3 上的图形如图所示, 则函数 Fx = x0 f  t dt 的图形为 ( ) A. B. C. D. 大观严选题 —— 澄潇宇 第 382 页，共 767 页
383	386	(1.3.4.2.3)2013 数二;880 第三章基础选择 4	(1.3.4.2.3)2013 数二;880 第三章基础选择 4 (3) 设函数 f x = sinx, 0≤x<π, 2, π≤x≤2π,Fx = x0 f   t dt 
384	387	(1.3.4.3.1)1997 数三	a.c.d.c) 已知积分等式 (1.3.4.3.1)1997 数三 若函数 f x = 1 1+x 2 + 1-x
385	388	(1.3.4.3.2)2014 数一	(1.3.4.3.2)2014 数一 (4) 若 π-π x-a1cosx-b1  sinx 2  dx = min a,b∈R π-π x-acosx-bsinx 2
386	389	(1.3.4.4.1)1994 数一二	a.c.d.d) 定积分比大小 (1.3.4.4.1)1994 数一二 (5) 设 M = π 2- π
387	390	(1.3.4.4.2)2003 数二	(1.3.4.4.2)2003 数二 (5) 设 I1 = π 40 tanx x
388	391	(1.3.4.4.3)2010 数一二三;30 例 11.4	(1.3.4.4.3)2010 数一二三;30 例 11.4 (I) 比较 1 0 lnt  ln1+t ndt 与 1
389	392	(1.3.4.4.4)2011 数一二三	(1.3.4.4.4)2011 数一二三 (6) 设 I = π 40 ln  sinx dx,J = π
390	393	(1.3.4.4.5)2012 数一二	(1.3.4.4.5)2012 数一二 (4) 设 Ik = kπ 0 e x 2
391	394	(1.3.4.4.6)2018 数一二三;660 数二 339	(1.3.4.4.6)2018 数一二三;660 数二 339 (5) 设 M = π 2- π 2 1+x 2
392	395	(1.3.4.4.7)2022 数一二三	(1.3.4.4.7)2022 数一二三 (7) 若 I1 = 1 0 x 21+cosx   dx,I2 =
393	396	(1.3.4.5.1)1987 数一二	a.c.d.e) 判断定积分值正负 / 与参数相关性 (1.3.4.5.1)1987 数一二 (2) 设 f x 为已知连续函数， I = t s t 0 f  tx dx，其中 s > 0,t > 0，则 I 的值 ( )
394	397	(1.3.4.5.2)1997 数一二;880 第三章综合选择 2	(1.3.4.5.2)1997 数一二;880 第三章综合选择 2 (4) 设 Fx = x+2π x e sint  sintdt，则 Fx ( ) A. 为正常数. B. 为负常数. C. 恒为零. D. 不为常数. 大观严选题 —— 澄潇宇
395	398	(1.3.4.5.3)2024 数三	(1.3.4.5.3)2024 数三 (2) 设 I = a+kπ a sinx  dx,k 为整数，则 I 的值 A. 只与 a 有关. B. 只与 k 有关. C. 与 a,k 均有关. D. 与 a,k 均无关. 大观严选题 —— 澄潇宇
396	399	(1.3.4.6.1)1998 数一二； 880 第三章基础填空 4	(1.3.4.6.1)1998 数一二； 880 第三章基础填空 4 设 f x 连续，则 d dx x0 tf  x 2-t2
397	400	(1.3.4.6.2)2015 数二三;880 第三章综合填空 10	(1.3.4.6.2)2015 数二三;880 第三章综合填空 10 设函数 f x 连续， φx = x 2 0 xf  t dt.若 φ1 = 1， φ  1 = 5，则 f 1 = _____. 大观严选题 —— 澄潇宇 第 397 页，共 767 页
398	401	(1.3.4.6.3)2009 数三	(1.3.4.6.3)2009 数三 (3) 使不等式 x1 sint t  dt > lnx 成立的 x 的范围是 ( ) A. 0,1 . B. 1, π 2
399	402	(1.4.1.1.1)1994 数一	四、多元微分 1.4.1.概念题 a.d.a.a) 基本概念题 (1.4.1.1.1)1994 数一 (2) 二元函数 f x,y 在点 x0 ,y  0 处两个偏导数 f
400	403	(1.4.1.1.2)2002 数一;26 版 660 数一二三第 239 题	(1.4.1.1.2)2002 数一;26 版 660 数一二三第 239 题 (1) 考虑二元函数 f x,y 的下面 4 条性质: ① f x,y 在点 x0 ,y  0 处连续; ② f x,y 在点 x0 ,y  0 处的两个偏导数连续; ③ f x,y 在点 x0 ,y  0 处可微; ④ f x,y 在点 x0
401	404	(1.4.1.1.3)2007 数二	(1.4.1.1.3)2007 数二 (7) 二元函数 f x,y 在点 0,0 处可微的一个充分条件是 ( ). A. lim x,y →0,0   f x,y - f 0,0 = 0 B. limx→0 f x,0 - f 0,0 
402	405	(1.4.1.2.1)2020 数二	a.d.a.b) 已知具体多元函数判断其他 (1.4.1.2.1)2020 数二 5.关于函数 f x,y = xy, xy≠0, x, y=0, y, x=0,   
403	406	(1.4.1.2.2)2024 数二	(1.4.1.2.2)2024 数二 5.已知函数 f x,y = x 2+y 2  sin 1
404	407	(1.4.1.2.3)1997 数一	(1.4.1.2.3)1997 数一 (1) 二元函数 f x,y = xy x 2+y 2
405	408	i.iv.ii.i.i.i.)2012 数三;26 版 660 数一二三第 99 题	1.4.2.重极限 a.d.b.a) 已知重极限推导其他 (1.4.2.1.1 已知重极限求偏导 / 判断可微 / 求全微分 i.iv.ii.i.i.i.)2012 数三;26 版 660 数一二三第 99 题 设连续函数 z = f x,y 满足 lim x→0 y→1
406	409	i.iv.ii.i.i.ii)2012 数一	i.iv.ii.i.i.ii)2012 数一 (3) 如果函数 f x,y 在点 0,0 处连续，那么下列命题正确的是 ( ) A. 若极限 lim x→0 y→0 f x,y 
407	410	i.iv.ii.i.i.ii.i)2003 数一	(1.4.2.1.2) 已知重极限求多元复合函数极值 i.iv.ii.i.i.ii.i)2003 数一 (3) 已知函数 f x,y 在点 0,0 的某个邻域内连续，且 lim x→0 y→0 f x,y -xy
408	411	(a.d.c.a.a.a.a)2008 数三	1.4.3.偏导数 a.d.c.a) 多元函数求偏导 (1.4.3.1.1 一阶偏导 i.iv.iii.i.i.i) 判断偏导存在 (a.d.c.a.a.a.a)2008 数三 (3) 已知 f x,y = e x
409	412	(a.d.c.a.a.a.b)2023 数三	(a.d.c.a.a.a.b)2023 数三 1.已知函数 f x,y = ln y+xsiny , 则 ( ). A. ∂f ∂x  0,1 不存在, ∂f ∂y  0,1  存在 B. ∂f
410	413	(a.d.c.a.a.b.a)2009 数三	i.iv.iii.i.i.ii) 常规 (a.d.c.a.a.b.a)2009 数三 设 z = x+e y   x , 则
411	414	(a.d.c.a.a.b.b)2016 数二三;880 第四章基础选择 9	(a.d.c.a.a.b.b)2016 数二三;880 第四章基础选择 9 (2) 已知函数 f x,y = e x x-y ，则 ( ) A. f
412	415	(a.d.c.a.a.c.a)2015 数二	i.iv.iii. i. i.ii) 考察换元思想 (a.d.c.a.a.c.a)2015 数二 (5) 设函数 f u,v 满足 f x+y, y  x = x 2- y 2，则 ∂f
413	416	i.iv.iii.i.ii.i)2011 数一;880 第四章基础填空 12	(1.4.3.1.2) 二阶偏导 i.iv.iii.i.ii.i)2011 数一;880 第四章基础填空 12 设函数 Fx,y = xy 0 sint 1+t  2 dt, 则 ∂
414	417	i.iv.iii.i.ii.ii)2020 数一;26 版 1000 第十三章强化 10	i.iv.iii.i.ii.ii)2020 数一;26 版 1000 第十三章强化 10 设函数 f x,y = xy 0 e xt2  dt, 则 ∂
415	418	i.iv.iii. i. ii.iii)2022 数二三	i.iv.iii. i. ii.iii)2022 数二三 (4) 已知 f t 连续，令 Fx,y = x-y 0 x-y-t   f t dt，则 ( ) A. ∂F
416	419	i.iv.iii.ii.i.i.i)2019 数一	a.d.c.b) 多元复合函数求偏导 (1.4.3.2.1 f u i.iv.iii.ii.i.i.i)2019 数一 设函数 f u 可导,z = f siny-sinx + xy, 则 1 cosx ⋅ ∂z
417	420	i.iv.iii.ii.ii.ii2022 数一;26 版 1000 第十三章基础 14	i.iv.iii.ii.ii.ii2022 数一;26 版 1000 第十三章基础 14 (2) 设 f u 可导， z = xyf y  x ，若 x ∂z ∂x + y
418	421	i.iv.iii.ii.ii.i)2026 数二	(1.4.3.2.2)f u,v  i.iv.iii.ii.ii.i)2026 数二 设函数 f x,y 可微, 且满足 df 0,0 = πdx + 3dy,gx = f lnx,sinπx , 则 g  1 = _____. 大观严选题 —— 澄潇宇 第 418 页，共 767 页
419	422	i.iv.iii.ii.ii.ii.ii)2024 数一	i.iv.iii.ii.ii.ii.ii)2024 数一 设函数 f u,v 具有 2 阶连续偏导数, 且 df  1,1 = 3du + 4dv.令 y = f(cosx, 1+x 2 , 则 d 2y
420	423	i.iv.iii.ii.ii.iii. iii)2011 数一二	i.iv.iii.ii.ii.iii. iii)2011 数一二 设函数 z = f xy,ygx  , 其中函数 f 具有二阶连续偏导数, 函数 gx 可导, 且在 x = 1 处取得极值 g1 = 1.求 ∂ 2 z
421	424	i.iv.iii.ii.ii.iv)2019 数三	i.iv.iii.ii.ii.iv)2019 数三 设函数 f u,v 具有 2 阶连续偏导数, 函数 gx,y = xy - f x+y,x-y .求 ∂ 2g ∂x 2 +
422	425	i.iv.iii.ii.ii.v)2024 数二	i.iv.iii.ii.ii.v)2024 数二 函数 f u,v 具有 2 阶连续偏导数, 且函数 gx,y = f 2x+y,3x-y 满足 ∂ 2g ∂x 2 + ∂
423	426	i.iv.iii.ii.ii.vi)2011 数三	i.iv.iii.ii.ii.vi)2011 数三 已知函数 f u,v 具有二阶连续偏导数, f 1,1 = 2 是 f u,v 的极值,z = f x+y,f x,y  .求 ∂ 2 z ∂x∂y  1,1 
424	427	i.iv.iii.iii.ii. i)2010 数二	a.d.c.c) 利用变量代换化简偏微分方程 (1.4.3.3.1 线性变换 i.iv.iii.iii.ii. i)2010 数二 设函数 u = f x,y 具有二阶连续偏导数, 且满足等式 4 ∂ 2u ∂x 2 + 12 ∂
425	428	i.iv.iii.iii.ii.i)2019 数二	(1.4.3.3.2) 非线性变换 i.iv.iii.iii.ii.i)2019 数二 已知函数 ux,y 满足 2 ∂ 2u ∂x 2 - 2 ∂
426	429	i.iv.iii.iv.i.i.i.i.i)2013 数三	a.d.c.d) 多元隐函数求偏导 (1.4.3.4.1 一个方程三个未知数 (常规) i.iv.iii.iv.i.i) 一阶 (a.d.c.d.a.a.a) 具体 i.iv.iii.iv.i.i.i.i.i)2013 数三 设函数 z = zx,y 由方程 z+y x = xy 确定，则 ∂z ∂x  1,2 = _____. 大观严选题 —— 澄潇宇
427	430	i.iv.iii.iv.i.i.i.ii)2021 数二	i.iv.iii.iv.i.i.i.ii)2021 数二 设函数 z = zx,y 由方程 x+1 z + ylnz - arctan2xy = 1 确定，则 ∂z ∂x  0,2 = _____. 大观严选题 —— 澄潇宇 第 427 页，共 767 页
428	431	i.iv.iii.iv.i.i.ii.iii)2025 数二	i.iv.iii.iv.i.i.ii.iii)2025 数二 1.设函数 z = zx,y 由 z + lnz - x y e-t2  dt = 0 确定, 则 ∂z
429	432	i.iv.iii.iv.i.i.ii.i)2010 数一二	(a.d.c.d.a.a.b) 抽象 i.iv.iii.iv.i.i.ii.i)2010 数一二 (2) 函数 z = zx,y 由方程 F y x , z  x = 0 确定，其中 F 为可微函数，且 F
430	433	i.iv.iii.iv.i.i.ii.i)2005 数一;880 第四章基础选择 5	(a.d.c.d.a.a.c) 隐函数存在定理 i.iv.iii.iv.i.i.ii.i)2005 数一;880 第四章基础选择 5 (10) 设有三元方程 xy - zlny + e xz = 1, 根据隐函数存在定理, 存在点 0,1,1 的一个邻域, 在此邻域内 该方程 ( ) A. 只能确定一个具有连续偏导数的隐函数 z = zx,y . B. 可确定两个具有连续偏导数的隐函数 y = yx,z 和 z = zx,
431	434	(a.d.c.d.a.b.a)2025 数三	i.iv.iii.iv.i.ii) 二阶 (a.d.c.d.a.b.a)2025 数三 已知函数 z = zx,y 由 z + lnz - x y x  e-t2dt = 1 确定，则 ∂
432	435	i.iv.iii.iv.ii.i)1999 数一	(1.4.3.4.2) 两个方程三个未知数 i.iv.iii.iv.ii.i)1999 数一 设 y = yx ,z = zx 是由方程 z = xf x+y 和 Fx,y,z = 0 所确定的函数, 其中 f 和 F 分别具有一阶 连续导数和一阶连续偏导数, 求 dz dx
433	436	i.iv.iii.iv.ii.ii)2001 数三	i.iv.iii.iv.ii.ii)2001 数三 设 u = f x,y,z 有连续的一阶偏导数, 又函数 y = yx 及 z = zx 分别由下列两式确定:e xy- xy = 2 和 e x = x-z 0 sint
434	437	i.iv.iii.v.i.i)2011 数三	a.d.c.e) 求全微分 (1.4.3.5.1 具体 i.iv.iii.v.i.i)2011 数三 设函数 z = 1+ x  y  x
435	438	i.iv.iii.v.i.ii)2020 数二三	i.iv.iii.v.i.ii)2020 数二三 11.设 z = arctanxy+sinx+y , 则 dz 0,π = _____. 大观严选题 —— 澄潇宇 第 435 页，共 767 页
436	439	i.iv.iii.v.i.iii)2015 数一三	i.iv.iii.v.i.iii)2015 数一三 若函数 z = zx,y 由方程 e z+ xyz + x + cosx = 2 确定，则 dz 0,1 = ______. 大观严选题 —— 澄潇宇 第 436 页，共 767 页
437	440	i.iv.iii.v.ii.i)2016 数一三;25 版 660 数一二三第 102 题	(1.4.3.5.2) 抽象 i.iv.iii.v.ii.i)2016 数一三;25 版 660 数一二三第 102 题 设函数 f u,v 可微,z = zx,y 由方程 x+1 z - y 2 = x 2 f x-z,y 确定, 则 dz 0,1 = ______. 大观严选题 —— 澄潇宇
438	441	i.iv.iii.v.ii.ii)2021 数一二三	i.iv.iii.v.ii.ii)2021 数一二三 (6) 设函数 f x,y 可微, 且 f x+1,e x  = xx+1 2 ,f x,x 2
439	442	(1.4.3.6.1)2017 数二三	a.d.c.f) 已知全微分求多元函数 (偏积分) (1.4.3.6.1)2017 数二三 (12) 设函数 f x,y 具有一阶连续偏导数, 且 df x,y = ye ydx + x1+y e ydy,f 0,0 = 0, 则 f x,y = 大观严选题 —— 澄潇宇 第 439 页，共 767 页
440	443	(1.4.4.1.1)2017 数二	1.4.4.多元微分应用 a.d.d.a) 单调性 (1.4.4.1.1)2017 数二 (5) 设 f x,y 具有一阶偏导数, 且对任意的 x,y 都有 ∂f x,y  ∂x > 0, ∂f x,y 
441	444	i.iv.iv.ii.i.i.i)2011 数一	a.d.d.b) 无条件极值 (1.4.4.2.1 概念题 i.iv.iv.ii.i.i.i)2011 数一 3 设函数 f x 具有二阶连续导数, 且 f x > 0,f  0 = 0, 则函数 z = f x lnf  y 在点 0,0 处取得极 小值的一个充分条件是 ( ) A. f 0 > 1,f  0 > 0. B. f 0 > 1,f 
442	445	i.iv.iv.ii.ii.i)2021 数三	(1.4.4.2.2) 直接给出函数 i.iv.iv.ii.ii.i)2021 数三 求函数 f x,y = 2lnx + x-1 2+y 2 2x
443	446	i.iv.iv.ii.ii.ii)2009 数一三;26 版 660 数一二三第 94 题	i.iv.iv.ii.ii.ii)2009 数一三;26 版 660 数一二三第 94 题 求二元函数 f x,y = x 2 2+y 2  + ylny 的极值. 大观严选题 —— 澄潇宇 第 443 页，共 767 页
444	447	i.iv.iv.ii.ii.iii)2012 数一二;880 第四章综合解答 9	i.iv.iv.ii.ii.iii)2012 数一二;880 第四章综合解答 9 求函数 f x,y = xe￾x 2+y 2 2 的极值. 大观严选题 —— 澄潇宇 第 444 页，共 767 页
445	448	i.iv.iv.ii.ii.iv)2013 数一	i.iv.iv.ii.ii.iv)2013 数一 求函数 f x,y = y+ x 3  3 e x+y的极值.大观严选题 —— 澄潇宇
